Rule	Period	dx	dy	dz	Iterations
RRLRUULRRL	52106	41	41	0	20339107
LRLLULULRL	51924	60	0	0	40298466
LDLDDUULL	51684	68	0	0	15687692
UULRLLUULL	51510	38	38	38	5575949
LDDULLRULL	51312	24	24	24	22626434
ULUULRRUL	51084	10	10	10	32452296
RLRLDURLLL	50922	40	40	40	5383250
RLRLLUDDUL	50916	148	0	0	3335516
UDURRRDUL	50812	62	0	0	6862686
LLUURLLLUL	50596	36	0	0	8511538
URRRUURRL	50540	12	0	0	17019466
RLRLLULLRL	50422	39	39	0	7028581
RURDUUULUL	50046	14	14	14	10522613
LRDLUDLDRL	49950	46	46	46	52422502
LLLRLLUDUL	49062	30	30	30	6196154
DUDRRRRLL	48726	28	28	0	10329544
DLDRLDDLUL	48516	34	34	34	5725722
LRLDDLUDUL	47586	14	14	14	11898867
ULULDLUULL	47476	108	0	0	4564130
ULLRLUULUL	47308	34	0	0	7313915
LUUULLRUL	47256	40	40	40	8602588
UDRULUDURL	47236	60	0	0	12912771
RRLRDDDDUL	47198	44	44	0	46806829
ULLRUULLLL	46848	50	50	50	4887239
LRUUDULLRL	46398	12	12	12	18156251
DDUDRLULUL	46382	52	52	0	9794468
DUDUURURLL	46374	44	44	44	4881400
RLURULLULL	46254	40	40	40	8208573
UDULRUDULL	46242	60	60	60	58593222
LRLLRLRUL	46208	64	0	0	6373253
RLRLRUUUL	46170	60	60	60	7460262
LRLUULRURL	45948	24	0	0	6862961
RRDUUUDDRL	45810	20	20	20	16568337
DUDDULLLRL	45768	36	36	36	5568939
RUURUURUL	45604	56	0	0	6746969
UDUULURRL	45594	24	24	24	96413600
LRDDURRRRL	45198	39	39	0	55065745
LUULULDLUL	44868	48	0	0	7182843
LRLLLUULLL	44598	22	22	22	7096914
ULLULDUULL	44474	23	23	0	6865197
DDRRRDDUD	44370	17	17	0	16028842
LDLUDDULL	44324	52	0	0	10544358
RRLRULRLUL	44280	30	18	4	98767249
DUDLLDULL	44210	38	38	0	8494787
DUDUULRULL	43882	37	37	0	5192268
LRULDRUUUL	43860	72	0	0	4064305
RLRDDDRDUL	43746	63	63	0	6092251
UDURRUULRL	43476	42	42	42	4864366
RRRLUUURL	43148	44	0	0	10931376
DUDDRRDLUL	43086	24	24	24	7843138
LDLLLLLUL	43080	20	20	20	57387711
UUULRURRUL	42748	44	0	0	6139230
UDLULULUUL	42156	24	24	24	109560984
RLDRURRRRL	41892	64	0	0	3999341
ULURRLLLLL	41772	44	0	0	62973863
RRLRULRRUL	41740	28	0	0	5883503
RRLRUUUUUL	41622	38	38	38	4997384
RLRUUUULRL	41562	30	30	0	6049360
LDUUULRUL	41358	28	28	28	43085326
UDLDLDLUL	41228	96	0	0	4753754
